Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1573407630,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1096861,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,97777,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,123735,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,196,Cyprus,CYP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,298338000,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,484,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,31948,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,72689,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2423661,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,204148367,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,20953,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,686591374,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,919086,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,422,Lebanon,LBN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,5000,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,158284,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,3995763,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2358,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,470,Malta,MLT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,111000,,,0
H2,2017,2017,2017,2,0,1,Import,434,Libya,LBY,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,800774,,,0
