Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1396612707,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,33708,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10089,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,50,Bangladesh,BGD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1398,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,974380013,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,76,Brazil,BRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,239993,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9185,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,144,Sri Lanka,LKA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,29,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2065,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,80632,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,208,Denmark,DNK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11705,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1974,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,135,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,39606230,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,314334585,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,67165,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,35,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,210767,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,30700,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,408,Dem. People's Rep. of Korea,PRK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,82,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1949,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,761,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,49058,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,484,Mexico,MEX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,373,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,64,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,53807974,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,568,"Other Europe, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7260979,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,91,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,586,Pakistan,PAK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,82,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,28296,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,620,Portugal,PRT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,174,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,633893,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,280,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,156,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,703,Slovakia,SVK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,739,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4807509,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,501670,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,166645,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5319,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12278,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,23172,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,134890,,,0
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,131132,,,4
H5,2017,2017,2017,2,0,1,Import,442,Luxembourg,LUX,899,"Areas, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,24713,,,0
H5,2018,2018,2018,2,0,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2391265648,,,4
H5,2018,2018,2018,2,0,1,Import,442,Luxembourg,LUX,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,22136,,,0
