Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,889982065,,,4
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,32,Argentina,ARG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,60134,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8891,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,172,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8359187,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,212053,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3965,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,13384,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,113601,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,184,Cook Isds,COK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4069,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,208,Denmark,DNK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,35038,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,15322,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2089888,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,552816,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,83526,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,90062,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,145383,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,372,Ireland,IRL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1598,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,376,Israel,ISR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,198,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,958932,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,572371,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,57767,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,215604,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,235704,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,27699,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,450,Madagascar,MDG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,35,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1417985,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,33387,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,504,Morocco,MAR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,236391,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,109589,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,566,Nigeria,NGA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1640184,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,185,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,180,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,620,Portugal,PRT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,16013,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,642,Romania,ROU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,58,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4729581,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,69829711,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,690,Seychelles,SYC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,914777,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,498503462,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,49479601,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,703,Slovakia,SVK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,419,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,155845013,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,79668,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,911,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,219364,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12809,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,86308924,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,376573,,,0
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,337470,,,4
H5,2017,2017,2017,2,0,1,Import,480,Mauritius,MUS,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6032385,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1136147229,,,4
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,16,American Samoa,ASM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3427679,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,32,Argentina,ARG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5888221,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,46515,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,283,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,295729,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4566,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,162144,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,184,Cook Isds,COK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2268,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,815,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,208,Denmark,DNK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,63044,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,15136,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4025,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1615700,,,4
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,650900,,,4
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,344,"China, Hong Kong SAR",HKG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3219,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,32031,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11771844,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,78720,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,372,Ireland,IRL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,756,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,376,Israel,ISR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,99,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,601064,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,470616,,,4
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,408,Dem. People's Rep. of Korea,PRK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,48,,,0
H5,2018,2018,2018,2,0,1,Import,480,Mauritius,MUS,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,197860,,,0
