Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1318769613,,,4
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,24,Angola,AGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,67,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,32,Argentina,ARG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,458016,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,226092,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8641953,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12575520,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,76,Brazil,BRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,99,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,70,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,152,Chile,CHL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,31149,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1764902,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,180,Dem. Rep. of the Congo,COD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,57600,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,191,Croatia,HRV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11796,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,243,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11823,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10140,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,605132,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,824414,,,4
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3605487,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,344,"China, Hong Kong SAR",HKG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,262205,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4124654,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3789,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10088507,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,376,Israel,ISR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,120636,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,877757,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11390,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,39636747,,,4
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3764,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1066042,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,678250,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,430,Liberia,LBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,290000,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,218810,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3314,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,450,Madagascar,MDG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,110851,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,44774,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,480,Mauritius,MUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,35456,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,484,Mexico,MEX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,106575,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,20138,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,504,Morocco,MAR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,175798,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,508,Mozambique,MOZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1177577,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9904407,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9154530,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,566,Nigeria,NGA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,56,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9022591,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,549952,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,620,Portugal,PRT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,30,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,634,Qatar,QAT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,438,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,53106,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,646,Rwanda,RWA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,368749,,,4
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,455793953,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,690,Seychelles,SYC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,627226,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,116352017,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1365005,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,703,Slovakia,SVK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,16252,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6079282,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3832,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,728,South Sudan,SSD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,44864,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,748,Eswatini,SWZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,29814,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1482,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1525668,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,141847,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,598583747,,,0
H5,2018,2018,2018,2,0,1,Import,800,Uganda,UGA,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12765152,,,0
