Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,879524060,,,4
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,31,Azerbaijan,AZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,264850,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,482787,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1165510,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,293758,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1405195,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,50614,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2138374,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3229,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,36768,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,44702,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4072786,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4002033,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,104702,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,344,"China, Hong Kong SAR",HKG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1080,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,48058,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,144818,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1279076,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11416,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,398,Kazakhstan,KAZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,203282402,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7899475,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,417,Kyrgyzstan,KGZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,49230935,,,4
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2318677,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3686866,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,277,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,484,Mexico,MEX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4405,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,166732,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,949008,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,642,Romania,ROU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3115913,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,361401158,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5798,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,23,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,703,Slovakia,SVK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,62460,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,704,Viet Nam,VNM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1200,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,705,Slovenia,SVN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,597,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1303,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,722896,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,23202,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,87922,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,762,Tajikistan,TJK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,29766382,,,4
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1720,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,237642,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3097721,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,795,Turkmenistan,TKM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,195978756,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1657285,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2545,,,0
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,41726,,,4
H5,2018,2018,2018,2,0,1,Import,860,Uzbekistan,UZB,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,229278,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,940591995,,,4
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,4,Afghanistan,AFG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12180,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,31,Azerbaijan,AZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,580660,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11123,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1541860,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,52708,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,112,Belarus,BLR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1590176,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,461,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,144,Sri Lanka,LKA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12285,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1958281,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11604,,,4
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,208,Denmark,DNK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,183,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,66993,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,122986,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3375826,,,0
H5,2019,2019,2019,2,0,1,Import,860,Uzbekistan,UZB,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2955230,,,0
