Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,257632273,,,4
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,24,Angola,AGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1725473,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1038,,,4
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1346410,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2557735,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,120,Cameroon,CMR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9554,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,61402,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4078257,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,906,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,93386,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,462228,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1156216,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10489,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,344,"China, Hong Kong SAR",HKG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,97990,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,37503,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,372,Ireland,IRL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,104,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,24772,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,384,Côte d'Ivoire,CIV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,187086,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4371,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5382590,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,74160,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,422,Lebanon,LBN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12753,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,761383,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,484,Mexico,MEX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,70,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,69636,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,504,Morocco,MAR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,71368,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,508,Mozambique,MOZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,36490,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1690610,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6020102,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,68179,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10735,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,107122,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,646,Rwanda,RWA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,84404,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,59507179,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,51644116,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1063648,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,36308866,,,4
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,716,Zimbabwe,ZWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,14777582,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,26648,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,748,Eswatini,SWZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,94987,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,468353,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2891947,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,768,Togo,TGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,241091,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,51775770,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,266011,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,800,Uganda,UGA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,293494,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3474,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4742,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,834,United Rep. of Tanzania,TZA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7877200,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2742277,,,4
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,894,Zambia,ZMB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1398708,,,0
H4,2017,2017,2017,2,0,1,Import,180,Dem. Rep. of the Congo,COD,899,"Areas, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1621,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,,,305126152,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,16,American Samoa,ASM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,528621,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,20,Andorra,AND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7809,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,24,Angola,AGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9937582,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,60290,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,112028,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,50,Bangladesh,BGD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1638,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1808508,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,76,Brazil,BRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5531,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,108,Burundi,BDI,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1539,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,120,Cameroon,CMR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,459,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,230164,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7042652,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,178,Congo,COG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,,,15731,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1566,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,17688,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,918502,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,266,Gabon,GAB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,28040,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,699540,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,13080,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,51665,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,85942,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6571,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,384,Côte d'Ivoire,CIV,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,24807,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3628,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5628855,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,47790,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,422,Lebanon,LBN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,26703,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,345,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2550505,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,480,Mauritius,MUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,597221,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,50412,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,508,Mozambique,MOZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,23472,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,651328,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1043401,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,554,New Zealand,NZL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,942,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,123187,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,281,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1129505,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,646,Rwanda,RWA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,59657,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,58077634,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,686,Senegal,SEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,17282,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,29422438,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2614726,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,59798649,,,4
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,716,Zimbabwe,ZWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,27522357,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8695,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,748,Eswatini,SWZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,713812,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,383598,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11594843,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,768,Togo,TGO,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4696736,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,51869283,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,788,Tunisia,TUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,57030,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8354,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,800,Uganda,UGA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,791638,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,27161,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4232,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,36591,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,834,United Rep. of Tanzania,TZA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4185001,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1644932,,,0
H4,2018,2018,2018,2,0,1,Import,180,Dem. Rep. of the Congo,COD,894,Zambia,ZMB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,,,18111914,,,4
