Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
No data matches your query or your query is too complex. Request JSON or XML format for more information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,8482378610,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,54752062,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,78470,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,144,Sri Lanka,LKA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,47025,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,19169179,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,9750,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,43700,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,37000,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,214435,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,16090,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,160195,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,400,Jordan,JOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,3330006,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,12900,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,262706,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,36552663,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,422,Lebanon,LBN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,13000,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,147323,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,125424,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,164993,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,568,"Other Europe, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,488137,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,579,Norway,NOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,437295,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,586,Pakistan,PAK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,12565,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,608,Philippines,PHL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,10368,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,11437379,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,11621052,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,36531,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,2158079,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,760,Syria,SYR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,7945,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,7897,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,3744667904,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,22505651,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,48850,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,112471,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1189565,,,0
H2,2014,2014,2014,2,0,1,Import,368,Iraq,IRQ,899,"Areas, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,4572500000,,,0
