Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,13712114359,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,68918548,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,8,Albania,ALB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8059,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,31,Azerbaijan,AZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1721760,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4724534,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,40,Austria,AUT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9447,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,43445624,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,52,Barbados,BRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,8685,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,61028244,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,60,Bermuda,BMU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,49475842,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,124,Canada,CAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,198965,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,140,Central African Rep.,CAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,812,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,144,Sri Lanka,LKA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10359,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,18387335,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,203,Czechia,CZE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,987925,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,25696,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,57405,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,246,Finland,FIN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4904,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1083895,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3847611,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,288,Ghana,GHA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1357,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,348,Hungary,HUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,154606,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,142804808,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,187294661,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,368,Iraq,IRQ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,65705000,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,372,Ireland,IRL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,709,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,30763803,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3800380,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,404,Kenya,KEN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4710794,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,408,Dem. People's Rep. of Korea,PRK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,745322,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,72551603,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,414,Kuwait,KWT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1127678186,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,417,Kyrgyzstan,KGZ,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1112,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,63701,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,21360,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,442,Luxembourg,LUX,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,408,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,40899169,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,490,"Other Asia, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2311207,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,552764508,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,524,Nepal,NPL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,351132,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,636929835,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,554,New Zealand,NZL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,21011,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,566,Nigeria,NGA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,69263166,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,568,"Other Europe, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11562520,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,581,United States Minor Outlying Islands,UMI,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,5518,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,591,Panama,PAN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,915130,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,17610272,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,620,Portugal,PRT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11700481,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,634,Qatar,QAT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1409481330,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,642,Romania,ROU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1519826,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,39943534,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,654,Saint Helena,SHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,141995,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1474667876,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,18805670,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,338206143,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,704,Viet Nam,VNM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,38934,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,780917402,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2805832,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,752,Sweden,SWE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,100571,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,81724,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,762,Tajikistan,TJK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,12579,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1229581,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6380853482,,,4
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,788,Tunisia,TUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7919,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,9659249,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,337679,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,148397,,,0
H5,2017,2017,2017,2,0,1,Import,586,Pakistan,PAK,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1105534,,,4
