Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1109798796,,,4
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,48,Bahrain,BHR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,7540017,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,172967,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3430,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,359578,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,360,Indonesia,IDN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,73620,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,364,Iran,IRN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,62914,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,19196,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,400,Jordan,JOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4481,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,48454,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,22743,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2147,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,423430559,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,50616,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,568,"Other Europe, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,67838,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,81892,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,188628,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,682,Saudi Arabia,SAU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,6181516,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,201046,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,2064,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,11860397,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10505347,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,1989,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,762,Tajikistan,TJK,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,3643,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,764,Thailand,THA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,22308,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,508778958,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,134857,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,10287,,,0
H5,2018,2018,2018,2,0,1,Import,887,Yemen,YEM,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,0,,,,0,,4994,,,0
